2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: No abstract found for O13-1001
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: N13-1076 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: P04-1023 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: P04-1023 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: J15-1002 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: L16-1714 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: C04-1041 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: C04-1041 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: C04-1041 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: P18-2049 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: P18-2049 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: P18-2049 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: P18-2049 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: W05-0210 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: W05-0210 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: D18-1195 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: D18-1195 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: H92-1035 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: H92-1035 issue with getting a name from an author in paper
2019-09-01 16:12:09,663| WARNING|          pdf_parser|            __call__: No sections found in H92-1035
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: I17-4036 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: I17-4036 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No abstract found for C96-2191
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: S13-2001 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No sections found in W19-3648
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No sections found in W12-1501
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No abstract found for O16-1031
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No abstract found for P15-5004
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: P00-1060 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: P00-1060 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No abstract found for M92-1021
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: No abstract found for M98-1007
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: P18-1046 issue with getting a name from an author in paper
2019-09-01 16:12:09,664| WARNING|          pdf_parser|            __call__: P18-1046 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No sections found in W19-3644
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No sections found in W16-3901
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: N18-5003 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: N18-5003 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No abstract found for N03-1006
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No abstract found for M98-1019
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: C16-1103 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: C16-1103 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: P19-1333 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: L16-1147 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: W19-3605 issue with getting a name from an author in paper
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No abstract found for W00-0735
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No sections found in J98-4009
